Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
Vilnius Airport is 5 km from the property.	Расстояние до Вильнюсского международного аэропорта составляет 5 км.
Situated in Braşov, within a 10-minute walk from the Black Church and the Council Square, Castel Iezer features a garden with a children's playground and a terrace.	Гостевой дом Castel Iezer расположен в Брашове, в 10 минутах ходьбы от Черной церкви и площади Совета. К услугам гостей сад с детской игровой площадкой и терраса.
A restaurant and a snack bar are onsite.	На территории также работают ресторан и снэк-бар.
Stureplan's shopping, restaurants and nightlife are within 5 minutes' walk.	До площади Стуреплан с различными магазинами, ресторанами и ночными клубами можно дойти за 5 минут.
Split Airport is just 4 km away.	Расстояние до аэропорта Сплита составляет всего 4 км.
The restaurant offers local and international dishes.	В ресторане подают блюда местной и интернациональной кухни.
Each is fitted with a seating area, mosquito net and hammock. Shower facilities are in the en suite bathroom.	В числе удобств — гостиная зона, москитная сетка и гамак, а также ванная комната с душем.
Select rooms also offer a separate living room area.	В некоторых номерах есть отдельная гостиная.
Traditionally decorated with a built-in bed and beamed ceilings, all air-conditioned studios and apartments have a well-equipped kitchenette with mini fridge and TV.	Гостям предоставляются традиционно оформленные номера-студио и апартаменты с потолочными балками и кондиционером. Также в распоряжении гостей встроенные кровати, хорошо оборудованная мини-кухня с мини-холодильником и телевизор.
Free on-site private parking is available and there are charging points for electric cars and bicycles.	На территории отеля обустроена бесплатная частная парковка. Гости могут воспользоваться зарядными устройствами для электрических автомобилей и велосипедов.
Laundry is on request and at a surcharge.	Прачечной можно воспользоваться по запросу и за дополнительную плату.
Just 5 minutes’ drive from central Alice Springs, Alice on Todd Apartments offer self-catering accommodation with flat-screen TVs and free Wi-Fi internet.	Апартаменты Alice on Todd находятся всего в 5 минутах езды от центра города Алис-Спрингс. К вашим услугам номера с собственной кухней, бесплатным WiFi и телевизором с плоским экраном.
The hotel is close to the pedestrian shopping area around Via Garibaldi.	Отель находится недалеко от пешеходного торгового района вдоль улицы Виа Гарибальди.
Zagreb Airport is located 18 km from the property.	Аэропорт Загреб находится в 18 км.
Other facilities at Patong Tower Superior Apartments include an outdoor pool.	К услугам гостей улучшенных апартаментов Patong Tower открытый бассейн.
Towels and bed linen are provided.	В стоимость проживания входят полотенца и постельное белье.
Parties can be hosted at the bar located on the second floor.	На 3 этаже работает бар, где можно провести вечеринку.
It has an extensive Spa, indoor swimming pool and a garden overlooking the sea.	К услугам гостей большой спа-салон, крытый бассейн и сад с видом на море.
The private bathroom is complete with a shower, free toiletries and hairdryer.	В собственной ванной комнате с душем имеются бесплатные туалетно-косметические принадлежности и фен.
Featuring a shower, private bathrooms also come with free toiletries.	Собственная ванная комната с душем укомплектована бесплатными туалетно-косметическими принадлежностями.
Ferienwohnungen Doris is located in Flattach in the Möll Valley, 2 km from the centre and 8 km from the Mölltal Glacier Ski Area.	Апартаменты Doris находятся в городе Флаттах, в долине Мёлль, в 2 км от центра города и в 8 км от горнолыжной зоны «Мёлльталь».
The Vaclav Havel Prague Airport is located 12 km away.	Расстояние до пражского аэропорта имени Вацлава Гавела составляет 12 км.
The accommodations at Apartment Paris are decorated in a contemporary style and feature a living area with a flat-screen TV and cable channels.	Апартаменты и номера-студио комплекса Paris оформлены в современном стиле и располагают гостиной зоной с телевизором с плоским экраном и кабельными каналами.
Casetta Gialla is set a 10-minute drive from La Spezia, and offers accommodation with free WiFi.	Дом для отпуска Casetta Gialla с бесплатным Wi-Fi находится в 10 минутах езды на автомобиле от города Ла-Специя.
The local bus stop is 100 metres away, while the Main Bus Station is in Zadar, about 40 km from the property.	Остановка местного автобуса находится в 100 метрах от апартаментов, а главный автобусный вокзал в Задаре - примерно в 40 км.
The rooms have a private bathroom.	Кроме того, в номерах имеется собственная ванная комната.
Offering free WiFi and a shared garden, Dormirebene B&B offers simply furnished rooms with a TV in the village of Belpasso.	Отель типа «постель и завтрак» Dormirebene расположен в деревне Бельпассо. К услугам гостей бесплатный WiFi, общий сад и лаконично оформленные номера с телевизором.
Gobelins School of Visual Communication is 200 metres from Take Me Home - Le Cygne, while Church of St. Francis is 400 metres from the property.	Апартаменты Take Me Home - Le Cygne расположены в 200 метрах от Школы анимации Гобелен и в 400 метрах от церкви Святого Франциска.
BBQ equipment is also provided.	Также вы можете воспользоваться принадлежностями для барбекю.
Guests can request for a humidifier and trouser press in their rooms.	Гости могут заказать в номер увлажнитель воздуха и пресс для брюк.
The apartment will provide you with a satellite TV and air conditioning.There is a full a kitchen with a dishwasher and a refrigerator.	Апартаменты оснащены кондиционером и спутниковым телевидением. Полноценная кухня оборудована посудомоечной машиной и холодильником.
Breakfast is served every morning.	Каждое утро для гостей сервируется завтрак.
The RBG Bar is open daily, serving a wide range of beverages and cocktails, and sport is shown on the big-screen TV.	Каждый день свои двери для гостей отеля открывает бар RGB, где вы сможете заказать различные коктейли и другие напитки, а на большом экране показывают спортивные состязания.
Hotel Serenella is set in the Zortea neighbourhood of Canal San Bovo, 25 km from the Brocon Pass ski area.	Отель Serenella расположен в районе Зортеа, недалеко от канала Сан Бово, в 25 км от горнолыжного курорта Брокон Пасс.
Restored from a building dating back to the 1950s, Cilicia Hotel is complete with a bar and a seating area in the garden.	Отель Cilicia расположен в отреставрированном здании 1950-х годов. В отеле есть бар и сад с зоной отдыха.
Guests can also enjoy activities in the surrounding area like windsurfing and fishing.	Отличным вариантом проведения досуга станет виндсерфинг и рыбная ловля.
The three-bedroom accommodation will provide you with satellite TV, a terrace and a seating area.	В распоряжении гостей 3 спальни, телевизор со спутниковыми каналами, терраса и гостиная зона.
DoubleTree by Hilton Qingdao-Jimo is located in the heart of Jimo. At DoubleTree by Hilton Qingdao-Jimo you will find a restaurant and a fitness centre.	Отель DoubleTree by Hilton Qingdao-Jimo с рестораном и фитнес-центром расположен в самом центре городского уезда Цзимо.
Every room at this hotel is air conditioned and is equipped with a flat-screen TV.	Все номера отеля оборудованы кондиционером и телевизором с плоским экраном.
The nearest airport is Atyrau International Airport, 5 km from the property.	Расстояние от апартаментов до международного аэропорта Атырау составляет 5 км.
Kapetan Matapas is a charming traditional villa situated in Areopolis, within 2 km of the sea.	Очаровательная традиционная вилла Kapetan Matapas расположена в городе Ареополис, в 2 км от моря.
The kitchen includes a microwave and a coffee machine.	Кухня оснащена микроволновой печью и кофемашиной.
A flat-screen TV with satellite channels and DVD player is available.	В числе удобств DVD-плеер и телевизор с плоским экраном и спутниковыми каналами.
The on-site restaurant serves a fine selection of Cantonese cuisine.	В ресторане отеля подают изысканные блюда кантонской кухни.
Located on Alcalá de Henares, this guest house is 10 minutes’ walk from the historic centre.	Это гостевой дом находится в городе Алькала-де-Энарес,10 минутах ходьбы от исторического центра.
Riviera Maya Mini-hotel in the center of St. Petersburg features free WiFi throughout the property.	На всей территории мини-отеля «Ривьера майя» в центре Санкт-Петербурга работает бесплатный Wi-Fi.
Just 500 metres from the Old Market, this guest house offers accommodation with free Wi-Fi, free parking and a 24-hour reception service.	Этот гостевой дом находится всего в 500 метрах от Старого рынка. К услугам гостей номера с бесплатным Wi-Fi, бесплатная парковка и круглосуточная стойка регистрации.
The Trichy Railway Station, Trichy Bus Station and Tiruchirapalli Airport are all 5 km away.	Расстояние до железнодорожного и автобусного вокзалов Тричи и аэропорта Тируччираппалли составляет 5 км.
This hotel does not have a restaurant.	В отеле нет ресторана.
A flat-screen cable TV is provided in every room at AmericInn Minocqua, along with a coffeemaker.	Все номера мотеля AmericInn Minocqua оснащены телевизором с плоским экраном и каналами кабельного телевидения, а также кофеваркой.
Pinto Guest House has a doctor on call 24-hours a day and offers bicycle rental facilities at a surcharge to those who want to discover the charms of Goa on two wheels.	В гостевом доме Pinto предоставляются круглосуточные услуги врача, а также за дополнительную плату можно арендовать велосипеды и исследовать достопримечательности Гоа.
Staff at the 24-hour reception counter will be happy to assist you with currency exchange services and bicycle/car rentals.	Сотрудники круглосуточной стойки регистрации помогут с обменом валюты и арендой велосипедов/автомобилей.
The private bathroom is complete with a bath or shower.	В собственной ванной комнате установлена ванна или душ.
Every apartment in Wzgórze Poręba features a flat-screen TV and a large seating area, as well as a bathroom with a shower.	Все апартаменты Willa Wzgórze Poręba располагают телевизором с плоским экраном, просторной гостиной зоной и ванной комнатой с душем.
Free private parking and free WiFi are available for guests' convenience.	Также к услугам гостей бесплатный Wi-Fi на всей территории и бесплатная частная парковка.
The nearest airport is Vaclav Havel Prague Airport, 13 km from the property.	Расстояние до аэропорта имени Вацлава Гавела составляет 13 км.
You can also access the beach in 10 km.	Расстояние до пляжа составляет 10 км.
Towels and bed linen are provided.	Предоставляются полотенца и постельное белье.
Apartments Diagonal Mar is set in a new modern district of Barcelona, only 5 minutes of foot from Fòrum Conference Centre and a 15-minute walk from the beach.	Апартаменты Diagonal Mar разместились в новом современном районе Барселоны, всего в 5 минутах ходьбы от конференц-центра Fòrum и в 15 минутах ходьбы от пляжа.
Similarly, a climbing hall is also only 4 minutes away, while cross-country skiing trails pass right behind the house.	Рядом с комплексом проходят трассы для катания на беговых лыжах.
The City Warehouse Aparthotel is a 10-minute walk from the Arndale Centre.	Апарт-отель City Warehouse находится в 10 минутах ходьбы от торгового центра Arndale.
All of the heated units feature a bathroom with a shower.	Все дома комплекса Villas D'Aldeia оборудованы отоплением и душем.
Hotel Stara Stajnia is located at the Poznań-Kalisz route.	Отель Stara Stajnia находится у дороги, ведущей из Познани в Калиш.
All feature a laptop safe, coffee/tea makers, a minibar, ironing facilities and a work desk.	В числе удобств всех номеров — сейф для ноутбука, принадлежности для чая/кофе, мини-бар, гладильные принадлежности и рабочий стол.
The property is a 6-minute drive from JR Ishiuchi Station.	В 6 минутах езды от мини-гостиницы находится железнодорожная станция Исиути.
Freshly laundered towels are provided.	Также гостям предоставляются свежевыстиранные полотенца.
Sunday lunch, afternoon tea and evening meals are available at Prested Hall, and local ingredients are used wherever possible.	В отеле Prested Hall гостям предлагаются воскресный обед, послеобеденный чай и вечерние блюда. При этом в их приготовлении максимально используются местные продукты.
The apartment at 10 Warren Mews has simple, modern décor. There is a lounge area with a flat-screen TV and a kitchen including a microwave, fridge, kettle, toaster, oven, hob and a toaster.	В просто и стильно оформленных апартаментах 10 Warren Mews имеется гостиная зона с телевизором с плоским экраном. На кухне предоставляется микроволновая печь, холодильник, чайник, тостер, плита, духовка и тостер.
Car hire is available at the property and the area is popular for snorkelling.	Сотрудники также организуют прокат автомобилей. Окрестности популярны среди любителей сноркелинга.
Located in Velden am Wörthersee, 1.2 km from Casino Velden, Pension Marko boasts a terrace and views of the mountain.	Гостевой дом Marko с принадлежностями для барбекю и видом на сад находится в городе Фельден-ам-Вёртер-Зе в 1,2 км от казино Velden.
Every room at this bed and breakfast is air conditioned and features a flat-screen TV. Certain units feature a seating area to relax in after a busy day.	Все номера оснащены кондиционером и телевизором с плоским экраном, в некоторых из них обустроена гостиная зона.
Guests can relax in the hotel’s sauna or steam bath.	Гости отеля могут отдохнуть в сауне и паровой бане.
Located less than 1 mile off Interstate 75, this Ohio hotel boasts an outdoor swimming pool and a hot tub.	Этот отель огайо расположен менее чем в 1,6 км от междуштатной автомагистрали 75. К услугам гостей открытый бассейн и гидромассажная ванна.
The nearest airport is Malindi Airport, 20 km from the property.	Расстояние до аэропорта Малинди составляет 20 км.
Featuring luxurious interiors, this hotel is located in the prestigious Etiler district, close to many shopping malls.	Роскошный отель Le Meridien Istanbul Etiler расположен в престижном районе Этилер города Стамбула, рядом с многочисленными торговыми центрами.
Each comes with a table and either private or shared bathroom facilities.	Ванные комнаты являются собственными или общими.
Each bright, colourful room at Days Inn South Padre is furnished with a cable TV. A microwave, refrigerator, and coffee machine are available for preparing and storing in-room meals.	Все светлые, яркие номера мотеля Days Inn South Padre оснащены телевизорами с кабельными каналами, микроволновыми печами, холодильниками и кофеварками. Предусмотрено все необходимое для хранения и приготовления еды в номере.
The family-run Hotel Croux is near Courmayeur's pedestrian area, and 800 metres from the ski lifts.	Семейный отель Croux находится вблизи пешеходной зоны города Курмайор и в 800 метрах от горнолыжных подъемников.
The town is famous for health tourism because of the climate and clean and fresh air.	Благодаря климату и чистому свежему воздуху город известен как место для оздоровительного туризма.
There is also a bar with a terrace in the square.	Также к услугам гостей бар с террасой на площади.
Casa do Progo is located in the lush landscape of Ponte de Lima, 9 km from the village centre.	Дом для отпуска Casa Do Progo расположен в пышном саду Понте-де-Лима, в 9 км от центра поселка.
Sunak Cave Boutique is within walking distance from Urgup town centre.	Бутик-отель Sunak Cave расположен в нескольких минутах ходьбы от центра Ургюпа.
The apartment is 1.4 km from Verona Arena.	В 1,4 км находится концертная площадка Arena di Verona.
Nice Côte d'Azur Airport is 30 km away.	Расстояние до аэропорта «Ницца Лазурный Берег» составляет 30 км.
There is a dining area and a kitchen equipped with oven.	В распоряжении гостей обеденная зона и кухня с духовкой.
One bathroom comes with a shower while the other comes with an additional bathtub.	В одной ванной комнате установлен душ, а в другой — дополнительная ванна.
An array of activities can be enjoyed on site or in the surroundings, including golfing, cycling and hiking.	В окрестном районе созданы отличные условия для игры в гольф, катания на велосипеде, пеших походов и других видов активного отдыха.
Shenzhen Dajiangnan Hotel is located in Dongmen commercial centre, just beside Dongmen Pedestrian Street.	Отель Shenzhen Dajiangnan находится в коммерческом центре Дунмэнь рядом с пешеходной улицей Дунмэнь.
Free Wi-Fi access is available.	В отеле предоставляется бесплатный WiFi.
Other facilities offered at the property include a shared lounge, a games room and luggage storage.	Среди прочих удобств общий лаундж, игровая комната и камера хранения багажа.
Parking is available.	Для гостей на автомобиле обустроена парковка.
On the Pest side of Budapest, Miller Hostel is centrally located in the 5th district, 200 metres from the Danube River and Váci Street, and a 3-minute walk from the Ferenciek tere M3 Metro Station.	Хостел Miller расположен в 5 районе в центре Будапешта, на берегу Пешта. До реки Дунай и улицы Ваци 200 метров, прогулка до станции метро Ferenciek tere M3 занимает 3 минуты.
All of the rooms have a balcony.	Во всех номерах имеется балкон.
This property is 45 km from Punta de Mita Beach and 60 km from Puerto Vallarta International Airport.	Отель находится в 45 км от пляжа Пунта-де-Мита и в 60 км от международного аэропорта Пуэрто-Вальярта.
Cattolica can be reached in 30 minutes by car.	До Каттолики можно добраться на машине за 30 минут.
The studio with two sofa beds on the second floor will provide you with a tv and a terrace.There is a kitchenette with a microwave and an oven.	Апартаменты-студио расположены на 3 этаже. В них установлены 2 диван-кровати и телевизор. В распоряжении гостей терраса и мини-кухня с микроволновой печью и духовкой.
Guests can order a traditional local meals cooked in a wood-burning stove, made with products from the village.	Гости могут заказать традиционные местные блюда, приготовленные из местных продуктов в дровяной печи.
The property is located about 5 km from the nearest beaches and 8 km from Querqueville.	Ближайшие пляжи находятся в 5 км от апартаментов. Расстояние до прибрежного городка Керкевиль составляет 8 км.
Betzel Ha'Ella is 10 minutes' drive from the exclusive town of Rosh Pina and 20 minutes' drive from the Holy City of Safed.	Отель Betzel Ha'Ella находится в 10 минутах езды от города Рош-Пина и 20 минут минутах езды от священного города Цфат.
They all have TV and a balcony.	Кроме того, все номера оснащены телевизором и располагают балконом.
The UNESCO-protected town of Trogir is 15 km away.	В 15 км находится город Трогир, внесенный в список объектов Всемирного наследия ЮНЕСКО.
The hotel has a indoor pool and hot tub, and guests can enjoy a drink at the bar.	В отеле есть крытый бассейн и гидромассажная ванна, а также гости могут заказать любимые напитки в баре.
Located 5 miles from Phoenix Sky Harbor International Airport, this 4-star resort offers luxurious rooms with iPod docking stations and Wi-Fi.	Этот 4-звездочный курортный отель находится в 8 км от международного аэропорта Феникс Скай Харбор и располагает роскошными номерами с док-станцией для iPod и Wi-Fi.
The spacious and elegant rooms at the Castel Royal are and come with an LCD TV with cable channels, a minibar, a seating area, bathroom, and views of the garden.	Просторные изысканные номера отеля Castel Royal располагают ЖК-телевизором с кабельными каналами, мини-баром, гостиным уголком и ванной комнатой. Из окон открывается вид на сад.
Maple Oak Holiday Home is a self-catering accommodation located in Wayanad. It is 9 km from Pookode Lake and 11 km from Chembra Peak.	Дом для отпуска Maple Oak с собственной кухней находится в округе Ваянад, в 9 км от озера Пукод и в 11 км от пика Чембра.
Shops and traditional restaurants are 800 metres away.	Всего в 800 метрах работают магазины и рестораны традиционной кухни.
Towels and bed linen are available.	Кроме того, гостям предоставляются полотенца и постельное белье.
Featuring a hairdryer, the private bathroom also comes with towels and free toiletries.	Также в распоряжении гостей собственная ванная комната с феном, полотенцами и бесплатными туалетно-косметическими принадлежностями.
Novo Rio bus station is 22 km from West Village, and Galeão International Airport is 28 km away.	От хостела West Village до автобусного вокзала Нову-Риу - 22 км, а до международного аэропорта Галеан - 28 км.
Relaxing massage is available upon request.	Гости могут заказать расслабляющий массаж.
Just 5 minutes’ walk from the beach, this pet-friendly motel is located in Newport, Oregon.	Мотель Econo Lodge Newport находится в городе Ньюпорт, штат Орегон всего в 5 минутах ходьбы от пляжа.
Located in a 5-minute walk from the beach in Tamraght Village, Surf Camp Morocco offers surfing lessons, quad biking and camel rides.	Отель Surf Camp Morocco расположен в 5 минутах ходьбы от пляжа в поселке Тамра. К услугам гостей уроки по серфингу, катание на квадроциклах и прогулки на верблюдах.
The Kaiserbahn cable car is located 150 metres from the hotel and the Sonnenlift ski lift is 200 metres away.	Канатная дорога Кайзербан находится в 150 метрах от отеля, а горнолыжный подъемник Зонненлифт – в 200 метрах.
Guests can find a super market, restaurants and shops at 300 metres from Journey’s End.	В 300 метрах от комплекса апартаментов Journey’s End открыты рестораны, магазины и супермаркет.
It is a short 2-minute walk from Hangzhou International Conference Centre and the Grand Theatre.	До Гранд-театра и международного конференц-центра Ханчжоу можно дойти за 2 минуты.
Some rooms offer panoramic sea views.	Из окон некоторых номеров открывается панорамный вид на море.
Free WiFi is provided throughout the property.	На всей территории апартаментов доступен бесплатный Wi-Fi.
There is a shared lounge and gift shop at the property.	В комплексе есть общий лаундж и сувенирный магазин.
An array of activities can be enjoyed on site or in the surroundings, including horse riding, hiking and snorkelling.	На территории отеля и поблизости от него гости смогут заняться различными видами активного отдыха, в том числе верховой ездой и сноркелингом. Также можно отправиться в пеший поход по окружающей местности.
You will find free shuttle service at the property.	Стойка регистрации открыта круглосуточно.
The accommodation is equipped with a cable flat-screen TV. Some units feature a terrace and/or balcony.	Во всех апартаментах установлен телевизор с плоским экраном и кабельными каналами, а в некоторых из них есть терраса и/или балкон.
Air conditioning, an LCD TV with satellite and cable channels and a minibar are included in every room.	В каждом номере имеется кондиционер, ЖК-телевизор со спутниковыми и кабельными каналами и мини-бар.
You will find a shared lounge at the property.	Гости могут отдохнуть в общем лаундже.
The open-air Amarta restaurant offers an intimate dining experience by the beach.	Ресторан под открытым небом Amarta предлагает вам поужинать в уединенной обстановке на пляже.
As Sandra Appartement’s guest, you can borrow ice skating shoes at an ice rink, a 10-minute walk from the property.	Гости апарт-отеля Sandra Appartement могут брать напрокат коньки на катке, который находится в 10 минутах ходьбы от отеля.
Michigan State University is 25 miles away.	Расстояние до университета штата Мичиган составляет 40 км.
Waldhotel Schäferberg is quietly situated on the edge of the Reinhardswald Forest, near Kassel.	Отель Waldhotel Schäferberg расположен в тихом месте на краю леса Райнхардсвальд, недалеко от Касселя.
Other facilities at Villa Aristoteles include a sun terrace.	Гости дома для отпуска Villa Aristoteles могут отдохнуть на террасе для загара.
Various local eateries can be found within walking distance of the hostel.	Различные местные кафе находятся в нескольких минутах ходьбы от хостела.
Offering a restaurant serving regional food, Hôtel Restaurant Chez Jerome is located 700 metres from Cambo-les-Bains thermal baths centre.	Отель-ресторан Chez Jerome находится в 700 метрах от центра термальных ванн Камбо-ле-Бен. К услугам гостей ресторан, где подают блюда региональной кухни.
Piazza is 300 metres from Ushba, while Europe Square is 300 metres away.	Площадь Пьяцца и площадь Европы находятся в 300 метрах от гостевого дома «Ушба».
Guests at Ibis Guimarães can enjoy a breakfast buffet each morning.	Каждое утро в отеле Ibis Guimarães подается завтрак "шведский стол".
Linens and towels are provided.	Полотенца и постельное белье входят в стоимость проживания.
The Baltic Sea is within 2 km, and the Dinosaur Park is 500 metres from the Małgorzata.	Расстояние до берега Балтийского моря не превышает 2 км, а до Парка динозавров - 500 м.
The kitchen is fully equipped with a dishwasher, an oven and kitchenware.	В распоряжении гостей обеденная зона и полностью оборудованная кухня с посудомоечной машиной, духовкой и посудой.
Tran Quy Cap Train Station is 3 km away while Noi Bai International Airport is 30 minutes away by car.	Расстояние до железнодорожного вокзала Тран Куи Кап составляет 3 км, а до международного аэропорта Ной Бай можно доехать на автомобиле за 30 минут.
The Northern Michigan University campus can be reached in 7 minutes’ drive. Ojibwa Casino is 12 miles away.	Кампус Университета Северного Мичигана находится в 7 минутах езды, а казино Ojibwa - в 19,3 км.
The nearest airport is Lisbon Humberto Delgado Airport, 13 km from Villa Magnolia.	Расстояние до лиссабонского аэропорта им. Умберту Делгаду, ближайшего к вилле Magnolia, составляет 13 км.
This B&B guest house is next to the 5 locks of the Caledonian Canal, walking distance from Fort Augustus.	Этот гостевой дом типа "постель и завтрак" расположен рядом с 5 шлюзами Каледонского канала, в пешеходной доступности от Форт-Августа.
The mountain-view apartments feature parquet floors, and exposed wooden beams on the ceilings.	В апартаментах с видом на горы и паркетными полами есть потолки с деревянными потолочными балками.
There is also a kitchenette, equipped with a fridge. A stovetop and kettle are also offered.	Мини-кухня укомплектована холодильником, плитой и чайником.
The nearest airport is Villafranca Airport, 10 km from Cristina Apartment.	Ближайший аэропорт Виллафранка расположен в 10 км от апартаментов Cristina.
You will find a kettle in the room.	В каждом номере в распоряжении гостей чайник.
Located on the Main Road in Al Murayr, 1.5 km from the beaches of the Gulf of Oman, Wajaja Hotel Apartment features a restaurant and air-conditioned apartments.	Апарт-отель Wajaja находится на главной дороге, которая ведет в Аль-Мурар, в 1,5 км от пляжей Оманского залива. К услугам гостей ресторан и апартаменты с кондиционером.
An array of activities can be enjoyed on site or in the surroundings, including skiing and cycling.	На территории и в окрестностях можно покататься на лыжах и велосипеде.
Shops and restaurants can also be found within 1.3 km.	В 1,3 км расположены магазины и рестораны.
Indaial Bus Station is 2.5 km away.	До автобусного вокзал Индаяла — 2,5 км.
The staff at Naz Han can arrange a shuttle service to Ephesus.	Сотрудники отеля Naz Han могут организовать для вас трансфер в Ефес.
An Italian breakfast of croissants and cappuccino is provided daily.	По утрам для гостей сервируют итальянский завтрак, состоящий из круассанов и капучино.
Drama Theatre is a 10-minute walk away.	Прогулка до Драматического театра займет всего 10 минут.
The property's à-la-carte restaurant serves regional and international cuisine and special diet menus are available upon request.	В ресторане отеля с обслуживанием по меню подают блюда региональной и международной кухни, а по запросу могут быть приготовлены специальные диетические блюда.
This country hotel enjoys a beautiful location amid the idyllic hills of the Hoher Fläming region, between Berlin and Leipzig. Built in 1996, it is situated within a 32-hectare estate.	Этот загородный отель расположен в прекрасном месте среди идиллических холмов региона Хоэр-Флеминг, между Берлином и Лейпцигом. Построенный в 1996 году отель занимает территорию в 32 гектара.
The nearest airport is Luis Eduardo Magalhães Airport, 20 km from the property.	Расстояние до аэропорта имени Луиса-Эдуарду-Магальяйнса составляет 20 км.
For convenience, all rooms are also equipped with a work desk and hairdryer.	Также в каждом из них есть рабочий стол и фен.
The restaurant also offers lunches and dinners.	В ресторане можно посетить обед и ужин.
An oven can be found in the kitchen.	Кухня оснащена духовкой.
The nearest airport is Schiphol Airport, 34 km from the property.	Расстояние до ближайшего аэропорта, Схипхол, составляет 34 км.
Guests can also have a meal at the on-site canteen.	На территории кемпинга работает кафе.
Gavrio Port is at 32 km.	До порта Гаврио 32 км.
The accommodation comes with a dining area and seating area with a flat-screen TV. Some units have a terrace and/or balcony with sea or city views.	В номерах обустроена обеденная/гостиная зона с телевизором с плоским экраном. В некоторых номерах сооружена терраса и/или балкон с видом на море.
At Morska Sreshta Guest House you will find a garden, a terrace and a shared kitchen.	В гостевом доме Morska Sreshta есть сад, терраса и общая кухня.
The non-smoking apartment at Casa Schillerwein features a bedroom, a living and dining room, a fully equipped kitchen, a modern bathroom with a rain shower, and a south-facing sun terrace.	В числе удобств апартаментов для некурящих — спальня, гостиная и столовая, а также полностью оборудованная кухня. В современной ванной комнате установлен тропический душ. С террасы для загара открывается вид на южную сторону.
Free parking is provided.	Гостям предоставляется бесплатная парковка.
The nearest airport is Naples International Airport, 5 km from the property.	Расстояние до международного аэропорта Неаполя составляет 5 км.
The Sardine Festival is organized here every summer.	Каждое лето здесь проводится фестиваль сардин.
It features a sea view, an LCD TV and an equipped kitchen.	Апартаменты-студио с видом на море располагают ЖК-телевизором и оборудованной кухней.
It is 9 km from Cannes and 12 km from the perfume town of Grasse.	Расстояние до города Канны составляет 9 км, а до Грасса, города парфюмеров, — 12 км.
The property has a 24-hour front desk, BBQ facilities and an array of activities can be enjoyed on site or in the surroundings, including diving, fishing and snorkelling as well as many Island tours.	В распоряжении гостей круглосуточная стойка регистрации и принадлежности для барбекю. На территории и поблизости можно заняться дайвингом, рыбной ловлей и сноркелингом, а также отправиться на экскурсию по островам.
Krabi Airport is a 30-minute drive away.	До аэропорта Краби 30 минут езды на автомобиле.
Guests can relax on the terrace and enjoy the scenic landscapes. Activities range from horse riding, hiking and fishing.	Гости могут отдохнуть на террасе и полюбоваться живописными пейзажами, а также заняться верховой ездой, отправиться на пешую прогулку или на рыбалку.
The hotel has a year-round outdoor pool, barbecue and sun terrace, and guests can enjoy a meal at the restaurant. Free private parking is available on site.	К услугам гостей работающий круглый год открытый бассейн, принадлежности для барбекю, терраса для загара, ресторан и бесплатная частная парковка на территории.
Nestled within the walls of the Old Medina, yet accessible by car, this 4 star equivalent is a exquisitely maintained masters residence blending the beauty of Andalouse tradition with modern amenities.	До этой идеально ухоженной 4-звездочной резиденции, расположенной за стенами Старой Медины, можно добраться на автомобиле. В ней красота андалузских традиций сочетается с современными удобствами.
The en suite bathroom has a bath, free toiletries and a hairdryer.	В ванной комнате с ванной предоставляются бесплатные туалетно-косметические принадлежности и фен.
